domain	position
NB	0.57003257329
NB	0.14657980456
ID	0.963704048395
ID	0.439506747324
LRR	0.640043763676
NB	0.386214442013
ID	0.112326768782
LRR	0.898978847557
CC	0.527932960894
ID	0.89280726257
LRR	0.421089385475
LRR	0.604748603352
NB	0.226606145251
ID	0.894917582418
NB	0.211881868132
LRR	0.462912087912
NB	0.31974248927
LRR	0.755364806867
LRR	0.857449417535
ID	0.146535867566
LRR	0.566830165543
LRR	0.9193746168
CC	0.0294297976701
CC	0.0383867832847
ID	0.967930029155
LRR	0.644800777454
NB	0.30612244898
LRR	0.411136757069
LRR	0.374206578188
ID	0.851125216388
LRR	0.523658395845
LRR	0.641373341027
LRR	0.347663012118
LRR	0.496826312752
LRR	0.510963646855
NB	0.186381996538
LRR	0.388055395268
LRR	0.429313329486
LRR	0.347374495095
LRR	0.623773802654
LRR	0.47405112316
NB	0.251355538342
LRR	0.539504260263
ID	0.87606506584
CC	0.41095890411
LRR	0.659023228112
ID	0.0297796307326
ID	0.122989874926
NB	0.447587849911
ID	0.0502215657312
LRR	0.820531757755
LRR	0.917282127031
LRR	0.60376661743
LRR	0.443500738552
NB	0.240398818316
NB	0.585166784954
LRR	0.838537970192
ID	0.120298083747
ID	0.263662171753
NB	0.417691579943
ID	0.164143803217
ID	0.0624408703879
LRR	0.938978240303
LRR	0.701986754967
NB	0.337127845884
LRR	0.654553415061
ID	0.944395796848
ID	0.02466367713
NB	0.199551569507
NB	0.695067264574
LRR	0.328475336323
LRR	0.487855007474
LRR	0.787369207773
LRR	0.938153961136
CC	0.433216168717
ID	0.26625659051
NB	0.757469244288
NB	0.575
ID	0.0508620689655
LRR	0.887356321839
LRR	0.734770114943
ID	0.214655172414
ID	0.241666666667
NB	0.171192193466
NB	0.717649554518
LRR	0.869749681799
LRR	0.306745863386
ID	0.514212982605
CC	0.0899448451421
ID	0.456088247773
ID	0.0956090651558
CC	0.331444759207
NB	0.494688385269
NB	0.635623229462
LRR	0.852337110482
CC	0.396954674221
CC	0.0765634132086
NB	0.192869666861
ID	0.680596142607
LRR	0.410286382233
ID	0.887718023256
ID	0.80414244186
NB	0.234738372093
LRR	0.498183139535
ID	0.855844155844
NB	0.450649350649
NB	0.59025974026
LRR	0.738259668508
LRR	0.541436464088
ID	0.934392265193
LRR	0.600828729282
LRR	0.469613259669
LRR	0.358080110497
LRR	0.667817679558
NB	0.154005524862
ID	0.161290322581
NB	0.521673387097
LRR	0.826108870968
NB	0.699850299401
ID	0.187125748503
ID	0.95567265964
ID	0.981401115933
ID	0.928394296342
CC	0.0167389956603
CC	0.0799752014879
NB	0.338189708617
NB	0.165530068196
LRR	0.56664600124
NB	0.228641456583
LRR	0.595588235294
LRR	0.423669467787
ID	0.894607843137
ID	0.873523280056
NB	0.230368311327
LRR	0.4829742877
LRR	0.426553672316
LRR	0.609463276836
NB	0.228813559322
ID	0.881002824859
CC	0.0861581920904
LRR	0.93320610687
LRR	0.794847328244
LRR	0.716921119593
ID	0.178117048346
ID	0.31106870229
NB	0.603371501272
NB	0.573820915926
ID	0.112781954887
LRR	0.695830485304
LRR	0.77956254272
LRR	0.928229665072
ID	0.25974025974
LRR	0.647214854111
LRR	0.756763925729
ID	0.0883289124668
CC	0.144297082228
NB	0.247214854111
CC	0.95225464191
LRR	0.410344827586
LRR	0.550132625995
LRR	0.909018567639
NB	0.210180055402
ID	0.963988919668
CC	0.0574792243767
LRR	0.630193905817
LRR	0.744459833795
LRR	0.644736842105
LRR	0.435249307479
CC	0.0335872576177
LRR	0.52503628447
ID	0.921262699565
NB	0.244557329463
ID	0.8868
ID	0.7104
NB	0.2396
ID	0.502
ID	0.905740609497
NB	0.369241672573
LRR	0.629340892984
LRR	0.406969099277
CC	0.025641025641
NB	0.146285338593
NB	0.224523339908
ID	0.944773175542
LRR	0.68704799474
LRR	0.802654109589
